#OTU ID,OMA1,OMA11,OMA12,OMA13,OMA17,OMA18,OMA19,OMA2,OMA20,OMA21,OMA22,OMA26,OMA27,OMA28,OMA3,OMA4,OMA47,OMA48,WGA10,WGA12,WGA13,WGA15,WGA18,WGA19,WGA20,WGA23,WGA25,WGA26,WGA27,WGA29,WGA3,WGA32,WGA33,WGA34,WGA35,WGA39,WGA4,WGA40,WGA41,WGA42,WGA45,WGA46,WGA48,WGA5,WGA50,WGA53,WGA54,WGA55,WGA56,WGA7,,,,,,,,
Otu90,6,16,19,1,27,12,10,6,17,41,14,21,9,21,1,0,10,0,0,181,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,889,0,8,0,0,0,0,0,0,,,,,,,,
Otu1630,0,1,0,0,6,42,34,0,0,2,0,0,1,7,0,0,1,0,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu97,97,11,11,6,8,5,14,19,19,4,12,7,2,35,20,16,1,47,0,0,0,0,0,0,0,0,0,0,0,0,864,0,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,
Otu120,14,0,0,0,2,13,1,0,0,4,0,0,0,0,0,0,0,0,369,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu101,48,12,14,1,7,1,4,30,7,8,9,2,5,9,17,45,41,20,1,0,0,0,0,0,191,0,0,0,0,0,134,0,240,0,1,0,2,0,0,0,0,0,0,283,3,0,0,0,0,0,,,,,,,,
Otu109,12,8,3,2,3,1,2,3,5,6,0,3,0,5,13,4,15,9,0,0,1,0,0,0,6,0,0,0,0,0,977,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,
Otu95,28,14,28,10,19,23,26,27,11,14,15,8,3,14,13,22,34,7,0,0,11,0,0,0,0,0,0,0,0,0,216,0,0,0,109,0,303,0,18,0,0,0,0,95,0,0,0,0,0,0,,,,,,,,
Otu182,16,1,6,1,84,15,22,0,4,13,26,17,3,5,5,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,691,0,0,0,0,0,0,69,0,0,0,0,0,1,,,,,,,,
Otu132,12,1,1,0,0,0,0,4,0,0,0,0,0,2,1,1,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985,0,0,,,,,,,,
Otu35,455,23,18,14,5,3,9,49,6,12,8,9,1,21,38,15,108,215,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu149,72,48,22,6,21,5,11,70,22,24,20,5,11,20,31,53,196,105,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,13,0,0,0,0,0,0,,,,,,,,
Otu138,59,14,12,10,5,3,2,47,28,15,15,10,4,19,37,58,89,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,2,0,268,0,0,0,0,3,0,0,,,,,,,,
Otu28,6,46,86,2,20,5,28,3,0,28,8,22,5,31,0,0,4,8,0,0,0,0,12,0,0,0,0,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,448,1,0,0,0,0,0,1,,,,,,,,
Otu1049,0,0,0,0,3,2,4,0,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,731,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu271,0,0,0,0,0,0,0,0,14,9,21,9,14,12,0,0,0,0,11,0,0,0,12,12,4,0,216,16,1,0,0,28,5,14,0,0,8,26,49,0,76,0,0,4,0,167,0,26,0,0,,,,,,,,
Otu75,0,0,1,1,31,45,40,0,2,4,5,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,0,0,0,0,0,0,,,,,,,,
Otu152,31,8,2,1,0,0,0,15,2,4,2,0,3,7,9,15,148,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu144,102,11,13,13,2,5,5,133,8,24,26,10,6,27,70,121,103,32,0,2,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu108,135,1,4,4,17,0,0,3,5,5,0,14,8,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,,,,,,,,
Otu103,29,40,36,4,18,6,13,17,17,29,1,73,17,7,12,21,12,12,0,0,0,0,0,0,0,0,0,0,0,198,7,0,0,0,0,0,38,0,0,0,0,0,0,8,0,0,0,0,0,0,,,,,,,,
Otu196,8,1,0,1,0,0,0,3,0,0,3,0,0,1,2,7,52,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,0,0,0,0,0,,,,,,,,
Otu82,18,267,203,1,0,0,1,2,0,0,0,0,1,6,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,19,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu158,7,0,0,0,1,0,0,5,3,2,3,4,1,3,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu1273,81,29,24,14,19,0,8,29,1,9,14,10,2,105,24,26,114,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
