,Treat,Diatom,Temp,Bact,FSC,SSC,RED,GREEN,strain,strain_2
10373,NbO-A5-AX,NbO-A5,18,Axenic,3.398917,3.464164,3.53568,3.689094,NbO-A5,A1
10374,NbO-A5-AX,NbO-A5,18,Axenic,3.367312,3.632818,3.462285,3.477395,NbO-A5,A1
10375,NbO-A5-AX,NbO-A5,18,Axenic,3.23784,3.367135,3.593035,4.001545,NbO-A5,A1
10376,NbO-A5-AX,NbO-A5,18,Axenic,3.333103,3.42812,3.643589,4.043984,NbO-A5,A1
10377,NbO-A5-AX,NbO-A5,18,Axenic,3.434227,3.509778,3.527581,4.033135,NbO-A5,A1
10378,NbO-A5-AX,NbO-A5,18,Axenic,3.315967,3.290373,3.429634,3.583687,NbO-A5,A1
10379,NbO-A5-AX,NbO-A5,18,Axenic,3.153457,3.624046,3.539137,3.664013,NbO-A5,A1
10380,NbO-A5-AX,NbO-A5,18,Axenic,3.432385,3.391285,3.585275,3.609493,NbO-A5,A1
10381,NbO-A5-AX,NbO-A5,18,Axenic,3.309899,3.621342,3.60412,3.563841,NbO-A5,A1
10382,NbO-A5-AX,NbO-A5,18,Axenic,3.252518,3.503333,3.570078,3.915955,NbO-A5,A1
10383,NbO-A5-AX,NbO-A5,18,Axenic,3.324916,3.5499,3.630709,3.511071,NbO-A5,A1
10384,NbO-A5-AX,NbO-A5,18,Axenic,3.267324,3.424674,3.506646,3.765013,NbO-A5,A1
10385,NbO-A5-AX,NbO-A5,18,Axenic,3.216357,3.314368,3.485559,3.664202,NbO-A5,A1
10386,NbO-A5-AX,NbO-A5,18,Axenic,3.474954,3.493719,3.677814,3.820318,NbO-A5,A1
10387,NbO-A5-AX,NbO-A5,18,Axenic,3.327435,3.412805,3.564022,3.697604,NbO-A5,A1
10388,NbO-A5-AX,NbO-A5,18,Axenic,3.227039,3.423543,3.539816,3.636866,NbO-A5,A1
10389,NbO-A5-AX,NbO-A5,18,Axenic,3.449421,3.461116,3.60756,4.172049,NbO-A5,A1
10390,NbO-A5-AX,NbO-A5,18,Axenic,3.374652,3.394622,3.475538,3.862957,NbO-A5,A1
10391,NbO-A5-AX,NbO-A5,18,Axenic,3.464675,3.34853,3.525189,3.828661,NbO-A5,A1
10392,NbO-A5-AX,NbO-A5,18,Axenic,3.334665,3.443508,3.481153,3.983574,NbO-A5,A1
10393,NbO-A5-AX,NbO-A5,18,Axenic,3.331411,3.396077,3.608753,3.659269,NbO-A5,A1
10394,NbO-A5-AX,NbO-A5,18,Axenic,3.466614,3.433856,3.658641,3.757123,NbO-A5,A1
10395,NbO-A5-AX,NbO-A5,18,Axenic,3.340367,3.354905,3.524215,3.864994,NbO-A5,A1
10396,NbO-A5-AX,NbO-A5,18,Axenic,3.384401,3.411489,3.641453,3.798769,NbO-A5,A1
10397,NbO-A5-AX,NbO-A5,18,Axenic,3.388366,3.599982,3.620539,3.715173,NbO-A5,A1
10398,NbO-A5-AX,NbO-A5,18,Axenic,3.388766,3.593933,3.533021,3.871915,NbO-A5,A1
10399,NbO-A5-AX,NbO-A5,18,Axenic,3.070947,3.518518,3.595791,3.569564,NbO-A5,A1
10400,NbO-A5-AX,NbO-A5,18,Axenic,3.250617,3.584188,3.062536,3.733786,NbO-A5,A1
10401,NbO-A5-AX,NbO-A5,18,Axenic,3.298306,3.400531,3.492354,3.89202,NbO-A5,A1
10402,NbO-A5-AX,NbO-A5,18,Axenic,3.233519,3.55751,3.502553,3.582271,NbO-A5,A1
10403,NbO-A5-AX,NbO-A5,18,Axenic,3.315918,3.595452,3.565589,3.492107,NbO-A5,A1
10404,NbO-A5-AX,NbO-A5,18,Axenic,3.144792,3.415885,3.613213,3.60127,NbO-A5,A1
10405,NbO-A5-AX,NbO-A5,18,Axenic,3.298367,3.606972,3.605022,3.815096,NbO-A5,A1
10406,NbO-A5-AX,NbO-A5,18,Axenic,3.303056,3.392651,3.507713,4.004723,NbO-A5,A1
