#OTU ID	info	Treatment	Treatment2	Treatment3	Pop	Pop2	Pop3	extract	temp	col	col2	pch	culture	clonal	clonal2	definition	keep_2026	diatom_control	exp	temp_shift	used_inisolate	TR_Con	TR_Growth	Fm	FmDEC	FmD	Treatment_Multi	order
WGA50	WGA_YE5-A_BLANK	YE5_Blank	YE5_Blank	YE5_Blank	YE5_Blank	Bact_CG2	Bact_PopB	WGA	18	firebrick	firebrick	24	Single	monoclonal	control	bacterioplankton	yes	control			y						YE5_Blank_WGA	82
WGA53	WGA_YE5-B	YE5	YE5	YE5_WGA	May	CG2	PopB	WGA	18	firebrick	firebrick	22	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						YE5_WGA	52
WGA54	WGA_YE5-B	YE5	YE5	YE5_WGA	May	CG2	PopB	WGA	18	firebrick	firebrick	22	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						YE5_WGA	53
WGA55	WGA_YE5-B	YE5	YE5	YE5_WGA	May	CG2	PopB	WGA	18	firebrick	firebrick	22	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						YE5_WGA	54
WGA56	WGA_YE5-B_Blank	YE5_Blank	YE5_Blank	YE5_Blank	May	Bact_CG2	Bact_PopB	WGA	18	firebrick	firebrick	24	Single	monoclonal	control	bacterioplankton	yes	control			y						YE5_Blank_WGA	83
WGA97	WGA_RD4-NB7-A	RD4_NB7	RD4_NB7	RD4_NB7_WGA	Mar_Nov	Mar_Nov	multiclonal	WGA	18	green	black	22	Co	multiclonal	multiclonal	microbiome	yes	diatom			y						RD4_NB7_WGA	61
WGA98	WGA_RD4-NB7-A	RD4_NB7	RD4_NB7	RD4_NB7_WGA	Mar_Nov	Mar_Nov	multiclonal	WGA	18	green	black	22	Co	multiclonal	multiclonal	microbiome	yes	diatom			y						RD4_NB7_WGA	62
WGA99	WGA_RD4-NB7-A	RD4_NB7	RD4_NB7	RD4_NB7_WGA	Mar_Nov	Mar_Nov	multiclonal	WGA	18	green	black	22	Co	multiclonal	multiclonal	microbiome	yes	diatom			y						RD4_NB7_WGA	63
WGA100	WGA_RD4-NB7-A	RD4_NB7	RD4_NB7	RD4_NB7_WGA	Mar_Nov	Mar_Nov	multiclonal	WGA	18	green	black	22	Co	multiclonal	multiclonal	microbiome	yes	diatom			y						RD4_NB7_WGA	64
WGA106	WGA_RD4-NB7-A	RD4_NB7	RD4_NB7	RD4_NB7_WGA	Mar_Nov	Mar_Nov	multiclonal	WGA	18	green	black	22	Co	multiclonal	multiclonal	microbiome	yes	diatom			y						RD4_NB7_WGA	65
WGA108	WGA_RD4-NB7-A	RD4_NB7	RD4_NB7	RD4_NB7_WGA	Mar_Nov	Mar_Nov	multiclonal	WGA	18	green	black	22	Co	multiclonal	multiclonal	microbiome	yes	diatom			y						RD4_NB7_WGA	66
WGA111	WGA_RD4-NB7-A_BLANK	RD4_NB7_Blank	RD4_NB7_Blank	RD4_NB7_Blank	RD4_NB7	RD4_NB7	Bact_multiclonal	WGA	18	black	black	24	Co	multiclonal	control	bacterioplankton	yes	control			y						RD4_NB7_Blank_WGA	84
WGA132	WGA_RD4-YE5-A	RD4_YE5	RD4_YE5	RD4_YE5_WGA	Mar_May	Mar_May	multiclonal	WGA	18	orange	black	23	Co	multiclonal	multiclonal	microbiome	yes	diatom			y						RD4_YE5_WGA	70
WGA133	WGA_RD4-YE5-A	RD4_YE5	RD4_YE5	RD4_YE5_WGA	Mar_May	Mar_May	multiclonal	WGA	18	orange	black	23	Co	multiclonal	multiclonal	microbiome	no	diatom			y						RD4_YE5_WGA	71
WGA137	WGA_RD4-YE5-A	RD4_YE5	RD4_YE5	RD4_YE5_WGA	Mar_May	Mar_May	multiclonal	WGA	18	orange	black	23	Co	multiclonal	multiclonal	microbiome	yes	diatom			y						RD4_YE5_WGA	72
WGA139	WGA_RD4-YE5-A	RD4_YE5	RD4_YE5	RD4_YE5_WGA	Mar_May	Mar_May	multiclonal	WGA	18	orange	black	23	Co	multiclonal	multiclonal	microbiome	yes	diatom			y						RD4_YE5_WGA	73
WGA143	WGA_RD4-YE5-A	RD4_YE5	RD4_YE5	RD4_YE5_WGA	Mar_May	Mar_May	multiclonal	WGA	18	orange	black	23	Co	multiclonal	multiclonal	microbiome	yes	diatom			y						RD4_YE5_WGA	74
WGA145	WGA_RD4-YE5-A	RD4_YE5	RD4_YE5	RD4_YE5_WGA	Mar_May	Mar_May	multiclonal	WGA	18	orange	black	23	Co	multiclonal	multiclonal	microbiome	yes	diatom			y						RD4_YE5_WGA	75
WGA146	WGA_RD4-YE5-A_BLANK	RD4_YE5_Blank	RD4_YE5_Blank	RD4_YE5_Blank	RD4_YE5_Blank	RD4_YE5_Blank	Bact_multiclonal	WGA	18	black 	black 	24	Co	multiclonal	control	bacterioplankton	yes	control			y						RD4_YE5_Blank_WGA	85
